order_book_id,2022/12/31,2023/6/30,2023/12/31,2024/6/30,2024/12/31,2025/6/30
1,66.7969,68.8118,56.5807,64.9715,57.3193,58.417
6,57.6386,67.8278,60.492,61.025,55.3989,36.9797
11,85.7997,75.3348,68.8508,71.5709,63.0733,68.3802
17,51.2767,34.8311,51.3716,75.2025,69.6993,78.5387
20,67.6772,72.9712,81.1099,79.4511,74.8071,52.6505
21,74.546,71.0229,76.5702,78.4767,73.9136,72.7704
30,63.2328,65.7235,57.0998,58.5597,16.8791,49.9932
31,77.8112,81.2947,83.1694,84.0734,59.2686,70.3123
39,56.9896,39.8671,35.739,46.6746,44.2199,37.1866
56,63.9477,71.9937,71.699,65.4796,71.7879,63.081
57,56.1045,80.352,68.1769,71.3197,69.4042,66.1877
58,21.4113,16.4349,17.5925,18.7969,22.8677,18.9747
61,67.3789,80.6629,77.7132,76.5792,82.4286,76.2771
63,18.2912,25.0822,32.9107,54.2591,63.4584,53.6792
65,8.4409,6.4498,7.7031,4.589,6.0141,4.3966
66,77.1596,87.613,74.6746,44.2539,50.2545,56.1979
72,9.2832,11.4378,8.3612,7.3384,9.2201,6.1162
73,73.9674,74.3347,82.9084,65.9522,65.5444,73.0139
82,52.7074,51.9654,51.0564,47.2077,53.077,53.0414
83,80.8422,80.0336,86.0926,86.1616,85.1504,84.2674
110,14.6599,19.7035,22.4063,19.4725,18.9106,15.1776
117,69.3798,72.1548,72.2341,80.8713,62.4145,57.7994
120,34.6729,33.0507,26.0797,19.1722,22.6421,30.1114
121,12.2075,22.2247,20.0953,25.5963,24.2334,21.9548
124,40.5736,43.1085,24.7232,21.8196,33.7084,41.982
126,90.1923,84.7728,81.2351,72.9141,87.1864,85.8864
127,57.5254,45.6945,31.0777,27.6877,29.8702,30.6101
136,38.7898,34.8107,42.563,32.6242,36.498,25.5772
165,41.8949,40.5025,39.9962,41.2669,50.9653,42.1271
166,77.2529,68.5521,88.077,76.2102,66.1951,86.824
167,56.7037,82.918,69.5869,61.183,54.7382,28.8834
172,53.3651,52.1558,50.0891,46.9928,49.0064,42.2702
173,68.6207,66.4823,60.5842,50.5803,57.0164,58.9182
190,7.3223,8.2747,5.919,4.473,2.6499,5.8042
195,19.3443,24.4769,29.0261,21.6662,19.8845,24.506
196,19.3443,24.4769,29.0261,21.6662,19.8845,24.506
199,53.9762,56.2668,55.4211,59.1257,47.8637,56.3989
209,92.7233,82.7549,69.2452,79.8122,91.3795,71.9026
214,32.6246,31.8944,54.2724,53.3732,54.6493,49.7517
215,10.8111,12.4213,12.7193,10.6921,10.1605,9.7153
219,70.8227,69.0448,74.0459,37.0908,41.2072,56.9216
220,59.7828,78.2284,74.3672,91.1093,83.4665,87.4601
241,45.3357,48.7748,47.3754,38.7982,64.3454,51.8502
242,78.7001,73.7566,76.1273,79.9618,88.3162,92.917
251,70.8952,75.6895,77.9111,79.6151,82.4469,88.9471
259,68.1141,46.6629,60.9706,62.9524,55.0521,46.9243
263,63.9255,62.4144,68.8768,64.0353,63.4207,57.9251
264,55.5943,40.4704,62.5972,57.8409,31.8117,20.7935
270,62.0076,59.8569,73.4657,71.2295,72.5858,61.2986
273,0,19.9226,54.637,61.9688,69.8689,60.2016
279,39.903,28.4022,27.6803,28.9136,24.7926,40.5252
294,57.8172,61.8864,72.263,68.7596,57.5469,44.1695
308,62.7155,73.1693,57.9045,64.338,78.8179,63.2154
309,55.2649,67.2368,39.1153,80.2761,60.947,57.3649
314,29.4351,34.2871,49.399,74.098,77.5105,67.8705
326,68.0035,68.9683,67.137,60.6137,70.6005,67.0067
327,83.9462,74.2948,76.7216,76.0217,88.8371,88.267
328,82.8688,80.506,61.257,56.4831,58.9695,54.7678
336,78.8544,68.96,73.042,62.0005,63.2554,55.842
339,55.4236,66.9793,64.8644,71.6965,73.7831,75.2906
354,44.2082,64.7586,54.5076,88.1494,83.3947,91.3744
362,72.0552,74.9654,79.3946,78.1336,76.3342,75.1898
363,72.0552,74.9654,79.3946,78.1336,76.3342,75.1898
367,11.7958,17.2698,17.3256,8.9725,8.6753,8.1996
390,38.3288,44.6558,45.3987,42.4187,50.5004,65.5203
398,33.2537,35.1671,36.2286,47.4275,52.0578,48.9597
404,77.6946,63.7203,67.3352,85.4708,71.387,69.5096
408,32.4093,37.1869,38.8826,45.1701,44.8816,53.0506
409,81.491,90.5377,83.2777,70.1682,79.2857,78.7352
410,73.8696,0,0,0,0.3698,44.3397
411,45.6797,70.0466,69.254,78.7321,78.9245,74.9856
