datetime,riskfree_rate
2016/1/4,2.3968
2016/1/5,2.4124
2016/1/6,2.403
2016/1/7,2.4211
2016/1/8,2.3959
2016/1/11,2.3992
2016/1/12,2.3687
2016/1/13,2.3355
2016/1/14,2.3212
2016/1/15,2.3484
2016/1/18,2.357
2016/1/19,2.3724
2016/1/20,2.3826
2016/1/21,2.4001
2016/1/22,2.4011
2016/1/25,2.399
2016/1/26,2.4238
2016/1/27,2.4785
2016/1/28,2.4449
2016/1/29,2.431
2016/2/1,2.3285
2016/2/2,2.3362
2016/2/3,2.3401
2016/2/4,2.3631
2016/2/5,2.3442
2016/2/6,2.3448
2016/2/14,2.3288
2016/2/15,2.3307
2016/2/16,2.3361
2016/2/17,2.3251
2016/2/18,2.2943
2016/2/19,2.249
2016/2/22,2.2812
2016/2/23,2.2727
2016/2/24,2.2798
2016/2/25,2.2644
2016/2/26,2.2736
2016/2/29,2.2622
2016/3/1,2.1934
2016/3/2,2.2175
2016/3/3,2.192
2016/3/4,2.1923
2016/3/7,2.1977
2016/3/8,2.1927
2016/3/9,2.197
2016/3/10,2.193
2016/3/11,2.1741
2016/3/14,2.1506
2016/3/15,2.1263
2016/3/16,2.097
2016/3/17,2.0727
2016/3/18,2.0733
2016/3/21,2.0355
2016/3/22,2.0557
2016/3/23,2.0555
2016/3/24,2.0565
2016/3/25,2.0617
2016/3/28,2.0636
2016/3/29,2.0645
2016/3/30,2.0849
2016/3/31,2.0615
2016/4/1,2.0635
2016/4/5,2.0615
2016/4/6,2.0864
2016/4/7,2.0627
2016/4/8,2.0699
2016/4/11,2.0952
2016/4/12,2.1051
2016/4/13,2.1174
2016/4/14,2.1414
2016/4/15,2.1433
2016/4/18,2.1483
2016/4/19,2.1495
2016/4/20,2.1527
2016/4/21,2.1876
2016/4/22,2.1286
2016/4/25,2.1688
2016/4/26,2.2589
2016/4/27,2.246
2016/4/28,2.2462
2016/4/29,2.2555
2016/5/3,2.3105
2016/5/4,2.3049
2016/5/5,2.302
2016/5/6,2.3146
2016/5/9,2.3663
2016/5/10,2.307
2016/5/11,2.3109
2016/5/12,2.3384
2016/5/13,2.3348
2016/5/16,2.3062
2016/5/17,2.3052
2016/5/18,2.3116
2016/5/19,2.3134
2016/5/20,2.3102
2016/5/23,2.3115
2016/5/24,2.3606
2016/5/25,2.3153
2016/5/26,2.3354
2016/5/27,2.3558
2016/5/30,2.3378
2016/5/31,2.3398
2016/6/1,2.3378
2016/6/2,2.3614
2016/6/3,2.3834
2016/6/6,2.3864
2016/6/7,2.3874
2016/6/8,2.3994
2016/6/12,2.3996
2016/6/13,2.3978
2016/6/14,2.3923
2016/6/15,2.3916
2016/6/16,2.3816
2016/6/17,2.3843
2016/6/20,2.3872
2016/6/21,2.3926
2016/6/22,2.393
2016/6/23,2.3929
2016/6/24,2.3868
2016/6/27,2.3811
2016/6/28,2.3793
2016/6/29,2.3829
2016/6/30,2.386
2016/7/1,2.3969
2016/7/4,2.3058
2016/7/5,2.3059
2016/7/6,2.3741
2016/7/7,2.3499
2016/7/8,2.3444
2016/7/11,2.3088
2016/7/12,2.328
2016/7/13,2.3289
2016/7/14,2.3322
2016/7/15,2.3348
2016/7/18,2.3269
2016/7/19,2.2843
2016/7/20,2.2649
2016/7/21,2.2685
2016/7/22,2.2644
2016/7/25,2.236
2016/7/26,2.2744
2016/7/27,2.2731
2016/7/28,2.2736
2016/7/29,2.2468
2016/8/1,2.1861
2016/8/2,2.1834
2016/8/3,2.109
2016/8/4,2.1165
2016/8/5,2.1186
2016/8/8,2.1191
2016/8/9,2.1383
2016/8/10,2.0752
2016/8/11,2.0713
2016/8/12,2.0678
2016/8/15,2.0576
2016/8/16,2.054
2016/8/17,2.016
2016/8/18,2.0161
2016/8/19,2.0119
2016/8/22,2.0123
2016/8/23,2.0104
2016/8/24,2.0268
2016/8/25,2.0245
2016/8/26,2.0192
2016/8/29,2.0193
2016/8/30,2.2144
2016/8/31,1.9183
2016/9/1,2.1365
2016/9/2,2.1399
2016/9/5,2.1439
2016/9/6,2.1497
2016/9/7,2.1489
2016/9/8,2.1608
2016/9/9,2.1733
2016/9/12,2.1849
2016/9/13,2.1945
2016/9/14,2.1906
2016/9/18,2.2013
